,World Port Index Number,Region Name,Main Port Name,Country Code,World Water Body,Sailing Direction or Publication,Tidal Range (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Harbor Size,Harbor Type,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Good Holding Ground,Communications - Telephone,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Medical Facilities,Garbage Disposal,Dirty Ballast Disposal,Cranes - Mobile,Lifts - 0-24 Tons,Services - Longshoremen,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Repairs,Latitude,Longitude
0,7950.0,United States E Coast -- 6585,Maurer,United States,North Atlantic Ocean,U.S. Coast Pilot 2 - Atlantic Coast: Cape Cod MA to Sandy Hook NJ,1.5,11.0,11.0,11.0,0.0,Very Small,River (Natural),Good,No,No,No,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,IV,Yes,Unknown,Yes,Unknown,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Moderate,40.533333,-74.25
1,52235.0,Sulawesi -- 51970,Mangkasa Oil Terminal,Indonesia,Teluk Bone; Banda Sea; South Pacific Ocean,Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,2.0,9.4,20.1,0.0,9.4,Small,Open Roadstead,Poor,No,No,No,No,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,XI,Yes,Unknown,Yes,No,No,Unknown,Unknown,Yes,No,No,No,No,,-2.733333,121.066667
2,47620.0,Madagascar -- 47350,Iharana,Madagascar,Indian Ocean,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,8.0,14.0,14.0,4.9,0.0,Very Small,Coastal (Natural),Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,VII,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,No,No,Emergency Only,-13.35,50.0
3,47360.0,Madagascar -- 47350,Andoany,Madagascar,Mozambique Channel; Indian Ocean,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,4.0,20.1,15.5,7.9,4.9,Very Small,Open Roadstead,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,VII,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,No,No,Emergency Only,-13.4,48.3
4,47020.0,Tanzania -- 46965,Chake Chake,Tanzania,Indian Ocean,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,0.0,14.0,12.5,0.0,0.0,Small,Coastal (Natural),Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,VIII,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Unknown,-5.25,39.766667
5,47005.0,Tanzania -- 46965,Mjimwema Terminal,Tanzania,Indian Ocean,Sailing Directions Pub. 171 (Enroute) - East Africa and the South Indian Ocean,3.0,23.2,17.1,0.0,15.5,Very Small,Open Roadstead,Poor,No,Yes,No,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,VIII,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,No,,-6.816667,39.366667
6,57245.0,Vanuatu -- 57160,Forari Bay,Vanuatu,South Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,0.0,0.0,20.1,7.9,0.0,Very Small,Open Roadstead,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,X,Yes,Unknown,No,Unknown,No,Unknown,Unknown,Unknown,No,No,No,No,Unknown,-17.683333,168.55
7,56820.0,Bismarck Archipelago -- 56700,Kokopo,Papua New Guinea,Bismarck Sea; South Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,2.0,23.2,17.1,1.8,0.0,Very Small,Open Roadstead,Fair,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,X,Unknown,Yes,Yes,No,No,Unknown,Unknown,No,Yes,Yes,No,No,Limited,-4.333333,152.266667
8,56710.0,Bismarck Archipelago -- 56700,Longan Island,Papua New Guinea,South Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,2.0,11.0,7.9,1.8,0.0,Very Small,Coastal (Natural),Poor,No,No,No,Yes,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,X,Unknown,Yes,Yes,Yes,No,Unknown,Unknown,Yes,No,Yes,No,No,Unknown,-1.216667,144.3
9,56660.0, ,Malakal Harbor,Palau,North Pacific Ocean,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,4.0,12.5,17.1,6.4,6.4,Very Small,Open Roadstead,Good,No,Yes,No,Yes,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,XI,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,7.333333,134.45
